Id=melecie
Title=Melecie's Magic
Description=My take on the Elemental formula, with rather complex and advanced combinations + lots of elements and categories = Melecie's Magic. Only some elements have descriptions.
Version=Beta

Light:			  #FFFFB0
Magma + Mountain =			Volcano (Landmass)
Lava + Mountain =			Volcano (Landmass)
Lava + Cool =				Stone (Land)
Wheat + Wheat =				Bread (Food)
Food + Cow =				Beef (Food)
Food + Chicken =			Poultry (Food)
Beef + Bread =				Burger (Food)
Poultry + Bread =			Burger (Food)
Fuel + Machine =			Oil (Energy)
Beach + Animal =			Crab (Fauna)
Motion + Metal =			Magnetism (Energy)
Magnetism + Rock =			Lodestone (Land)
Lodestone + Tool =			Compass (Metallic)
Compass + Compass =			Direction (Astral)
Direction + Compass =		North (Astral)
Direction + Sun =			East (Astral)
North + North =				South (Astral)
East + East =				West (Astral)
South + South =				North (Astral)
West + West =				East (Astral)
North + South =				Central (Astral)
East + West =				Central (Astral)
Light + Darkness =			Shadow (Shadow)
Mud + Animal =				Pig (Fauna)
Pig + Food =				Pork (Food)
Pork + Bread =				Burger (Food)
Burger + Building =			Fast Food (Construction)
Food + Human =				Chef (Society)
Milk + Milk =				Cheese (Food)
Cheese + Bread =			Sandwich (Food)
Cheese + Burger =			Cheeseburger (Food)
Cheeseburger + Building =	Fast Food (Construction)
Empty + Space =				Vacuum (Shadow)
Empty + Matter =			Vacuum (Shadow)
Vacuum + Machine =			Vacuum Cleaner (Electric)
Vacuum + Electricity =		Vacuum Cleaner (Electric)
North + Direction =			Up (Astral)
South + Direction =			Down (Astral)
Universe + Energy =			Cosmos (Astral)
Cosmos + Energy =			Matter (Sciences)
Matter + Earth =			Solid (Sciences)
Matter + Water =			Liquid (Sciences)
Matter + Air =				Gas (Sciences)
Food + Liquid =				Drink (Food)
Food + Water =				Drink (Food)
Drink + Fruit =				Juice (Food)
Drink + Energy =			Energy Drink (Food)
Solid + Heat =				Liquid (Sciences)
Liquid + Heat =				Gas (Sciences)
Gas + Cool =				Liquid (Sciences)
Liquid + Cool =				Solid (Sciences)
Fun + Tool =				Toy (Materials)
Toy + Human =				Doll (Materials)
Doll + Magic =				Voodoo (Magical)
Matter + Science =			Chemistry (Sciences)
Sky + Fire =				Sun (Astral)
Life + Earth =				Animal (Fauna)
Motion + Water =			River (Sea)
Motion + Earth =			Earthquake (Land)
Paper + Human =				Letter (Literal)
Plant + Cool =				Frost (Frost)
Stone + Plant =				Moss (Flora)
Rock + Plant =				Moss (Flora)
Moss + Wall =				Vine (Flora)
Plant + Wire =				Root (Flora)
Tree + Wire =				Root (Flora)
Dog + Moon =				Wolf (Fauna)
Chemistry + Chemistry =		Atom (Sciences)
Atom + Atom =				Molecule (Sciences)
Electricity + North =		Positive (Electric)
Electricity + Up =			Positive (Electric)
Electricity + South =		Negative (Electric)
Electricity + Down =		Negative (Electric)
Video Game + Novel =		Visual Novel (Arts)
Field + Field =				Land (Landmass)
Land + Land =				Continent (Landmass)
Land + Ocean =				Planet (Astral)
Land + Sky =				Horizon (Sky)
Ocean + Sky =				Horizon (Sky)
Horizon + Sun =				Sunrise (Light)
Sunrise + Time =			Sunset (Light)
Sunset + Time =				Sunrise (Light)
Horizon + Moon =			Moonrise (Shadow)
Moonrise + Time =			Moonset (Shadow)
Moonset + Time =			Moonrise (Shadow)
Moonrise + Moonrise =		Moonset (Shadow)
Moonset + Moonset =			Moonrise (Shadow)
Human + Friends =			Group (Society)
Group + Order =				Government (Society)
Group + Money =				Company (Society)
Motion + Air =				Wind (Sky)
Book + Magic =				Tome (Magical)
Knowledge + Paper =			Letter (Literal)
Atom + Number =				Atomic Number (Sciences)
Atomic Number + Atom =		Element (Sciences)
Element + Element =			Periodic Table (Sciences)
Atom + Positive =			Proton (Sciences)
Atom + Negative =			Electron (Sciences)
Atom + Electricity =		Electron (Sciences)
Proton + Electron =			Neutron (Sciences)
Black + White =				Gray (Color)
Milk + Plant =				Latex (Flora)
Latex + Air =				Rubber (Materials)
Rubber + Wheel =			Tire (Materials)
Tire + Machine =			Car (Construction)
Tire + Metal =				Car (Construction)
Tire + Wagon =				Car (Construction)
Wheel + Board =				Ramp (Materials)
Wheel + Plank =				Ramp (Materials)
Circle + Motion =			Rotation (Energy)
Rotation + Wood =			Door (Construction)
Rotation + Metal =			Screw (Materials)
Screw + Tool =				Screwdriver (Metallic)
Matter + Matter =			Atom (Sciences)
Atom + Science =			Chemistry (Sciences)
Metal + Liquid =			Mercury [metal] (Metallic)
Blaze + Building =			Arson (Flame)
Inferno + Building =		Arson (Flame)
Bone + Animal =				Fossil (Life)
Bone + Earth =				Fossil (Life)
Skeleton + Earth =			Fossil (Life)
Fossil + Tree =				Amber (Life)
Food + Fish =				Seafood (Food)
Seafood + Seafood =			Sushi (Food)
Grass + Sea =				Seagrass (Flora)
Seagrass + Seagrass =		Seaweed (Flora)
Plant + Ocean =				Coral (Sea)
Plant + Sea =				Coral (Sea)
Life + Sea =				Coral (Sea)
Life  + Ocean =				Coral (Sea)
Coral + Coral =				Reef (Sea)
Up + Human =				Head (Life)
Central + Human =			Chest (Life)
Chest + East =				Arms (Life)
Chest + West =				Arms (Life)
Arms + Arms =				Hands (Life)
Hands + Hands =				Fingers (Life)
Down + Human =				Legs (Life)
Legs + Legs =				Feet (Life)
Feet + Feet =				Toes (Life)
Up + Down =					Central (Astral)
Legs + Clothes =			Socks (Clothing)
Feet + Clothes =			Shoes (Clothing)
Hands + Clothes =			Gloves (Clothing)
Head + Chest =				Neck (Life)
Neck + Riches =				Necklace (Clothing)
Neck + Gemstone =			Necklace (Clothing)
Neck + Diamond =			Necklace (Clothing)
Fingers + Riches =			Ring (Clothing)
Fingers + Gemstone =		Ring (Clothing)
Fingers + Diamond =			Ring (Clothing)
Ring + Love =				Wedding Ring (Clothing)
Chest + Clothes =			Shirt (Clothing)
Head + Clothes =			Hat (Clothing)
Earth + Corpse =			Grave (Construction)
Mud + Corpse =				Grave (Construction)
Grave + Grave =				Graveyard (Construction)
Blade + Food =				Knife (Metallic)
Blade + Blade =				Scissors (Materials)
Lever + Blade =				Scissors (Materials)
Paper + Scissors =			Cut (Energy)
Knife + Food =				Cut (Energy)
Cut + Triangle =			Wedge (Construction)
Atom + Tool =				Microscope (Metallic)
Life + Corpse =				Revival (Life)
Morality + Human =			Soul (Psyche)
Soul + Human =				Body (Life)
Body + Human =				Soul (Psyche)
Body + Up =					Head (Life)
Body + Central =			Chest (Life)
Body + Down =				Legs (Life)
Body + West =				Arms (Life)
Body + East =				Arms (Life)
Body + Death =				Corpse (Life)
Death + Organism =			Corpse (Life)
Death + Animal =			Corpse (Life)
Weapon + Magic =			Enchantment (Magical)
Body + Animal =				Skin (Life)
Body + Organism =			Skin (Life)
Skin + Animal =				Fur (Life)
Skin + Bird =				Feather (Life)
Skin + Fish =				Scale (Life)
Explosion + Sky =			Firework (Flame)
Feather + Inks =			Quill (Arts)
Storm + Storm =				Hurricane (Sea)
Rock + Earth =				Boulder (Land)
Pebble + Pebble =			Rock (Land)
Ice + Ice =					Glacier (Frost)
Cool + Cool =				Absolute Zero (Frost)
Mountain + Air =			Cool (Frost)
Volcano + Air =				Heat (Flame)
Wings + Horse =				Pegasus (Legendary)
Riches + Cloth =			Silk (Materials)
Riches + Thread =			Silk (Materials)
Sea + Corpse =				Shell (Fauna)
Ocean + Corpse =			Shell (Fauna)
Shell + Riches =			Pearl (Fauna)
Shell + Gemstone =			Pearl (Fauna)
Shell + Stone =				Limestone (Land)
Limestone + Heat =			Cement (Materials)
Cement + Gravel =			Concrete (Materials)
Cement + Sand =				Concrete (Materials)
Cement + Pebble =			Concrete (Materials)
Gravel + Human =			Path (Construction)
Pebble + Human =			Path (Construction)
Concrete + Road =			Asphalt (Materials)
Pearl + Neck =				Necklace (Clothing)
Island + Island =			Archipelago (Landmass)
Metal + Technology =		Silicon (Metallic)
Heat + Rock =				Crystal (Land)
Positive + Mathematics =	Addition (Numeral)
Addition + Addition =		Multiplication (Numeral)
Multiplication + Multiplication = Exponentiation (Numeral)
Negative + Mathematics =	Subtraction (Numeral)
Subtraction + Subtraction =	Division (Numeral)
Tool + Motion =				Vehicle (Vehicular)
Motion + Machine =			Vehicle (Vehicular)
Air + Vehicle =				Plane (Vehicular)
Sky + Vehicle =				Plane (Vehicular)
Path + Vehicle =			Road (Construction)
Vehicle + Road =			Car (Vehicular)
Toy + Toy =					Game (Arts)
Luck + Plant =				Clover (Flora)
Time + Time =				Second (Chronal)
Second + Time =				Minute (Chronal)
Minute + Time =				Hour (Chronal)
Hour + Time =				Day (Chronal)
Addition + Subtraction =	Equal (Numeral)
Multiplication + Division =	Equal (Numeral)
Life + Liquid =				Blood (Life)
Blood + Organ =				Heart (Life)


# Numbers, just in case.

Two + Two =					Four (Numeral)
Three + Two =				Five (Numeral)
Three + Three =				Six (Numeral)
Four + Two =				Six (Numeral)
Four + Three =				Seven (Numeral)
Four + Four =				Eight (Numeral)
Five + Two =				Seven (Numeral)
Five + Three =				Eight (Numeral)
Five + Four =				Nine (Numeral)
Five + Five =				Ten (Numeral)
Six + Two =					Eight (Numeral)
Six + Three =				Nine (Numeral)
Six + Four =				Ten (Numeral)
Seven + Two	=				Nine (Numeral)
Seven + Three =				Ten (Numeral)
Eight + Two =				Ten (Numeral)
Zero + One =				One (Numeral)
Zero + Two =				Two (Numeral)
Zero + Three =				Three (Numeral)
Zero + Four =				Four (Numeral)
Zero + Five =				Five (Numeral)
Zero + Six =				Six (Numeral)
Zero + Seven =				Seven (Numeral)
Zero + Eight =				Eight (Numeral)
Zero + Nine =				Nine (Numeral)
Zero + Ten =				Ten (Numeral)

# Yummy flavor text!

Action -					Motion with a purpose. Much, much more chaotic than simple Motion.
Air - 						Inside Earth, no space is truly empty.
Animal -					Sometimes cute, sometimes annoying, and sometimes angry.
Apple -						May be bad. The legend of Newton getting hit by a falling apple is a legend for a reason.
Autumn -					It's called "Fall". Stop misspelling it.
Beach -						(snappy EDM music plays, animals start appearing)
Blade -						Taste the edge. Be edgy today.
Blaze -						Stop. Playing. With. Fire.
Bottle -					Oddly, having flames during a storm can create a bottle filled with water.
Breath -					You are now breathing manually.
Brick -						The cornerstone of construction. Without bricks, modern construction would be different.
Bird -						I'm surprised birds have this much impact in society, even just one tweet can make someone mad!
Building -					What will it be used for? Who knows?
Car -						The basic unit of transportation.
Cave -						melecie magic cave update when
Cell -						Fun fact that you already knew: mitochondrion is the powerhouse of a cell!
Chicken -					The egg came first.
Clay -						Either you mold it, or you heat it to mold it in other ways.
Cloud -						Giant flying sheep! (Those are clouds.)
Computer -					Computers are said to be smart, but they're less smart than robots. So, are computers smart?
Cool -						Important, as without this everything will be burnt.
Crab -						Okay, who's gone now?
Darkness -					I'll just leave you in the dark about what this is.
Day -						Every day, the Earth spins around. Yet nobody is dizzy.
Death -						YOU DIED! Press [R] to try again.
Desert -					Do you know why they call deserts like that? That's because in a desert, you will need a dessert.
Diamond -					The original best friend of girls. Yet flowers are competing for that title now.
Direction -					Hey, where am I again? Where is the sun? I think I should use something...
Earth - 					Does it look dirty?
Egg -						The chicken came first.
Energy -					Mass, light, square.
Electricity -				The gateway to technology of the present.
Evolution -					Evolution used to like triangles at one point. Strange.
Field -						The most plain landform. Plains are just that plain.
Fire - 						Something that you definitely don't want to play with. Just don't.
Flame -						I told you not to play with fire!
Flower -					They have an intense rivalry with diamonds. They keep arguing about who's the best friend of girls.
Food -						Fuel of humans. If you run out of food, you'll not be able to work.
Friends -					They're so close, they're totally lovers.
Fuel -						Gears, steam, coal, electricity... What's next in using everything as efficient fuel?
Game -						You lost The Game.
Glass -						It is pretty, but if you hold it it may drop and shatter.
Gold -						The money before money was born.
Heat -						Important, as without this everything will be frozen.
Hill -						A hill in the land is nothing more than a bump in the road.
Hour -						Is it hour time to shine?
Minute -					Every 60 seconds in Africa, a minute passes.
House -						It's actually an evil lair. What it'll be used for? Who knows?
Human -						Letter 20. That's an example. Whether it is a good example or a bad one, I don't know.
Ice -						Are crystals too expensive? Make them out of ice!
Inferno -					Now look at what you've done. You've burnt everything down!
Island -					No man is one, except those who are stranded on one I suppose.
Knowledge -					If you're smart enough, you can wield knowledge by freezing it into a solid and creating a sword out of it...
Lake -						Water? In my land? It's more likely than you think.
Land -						Land is not land, actually. It's a landmass.
Lava -						Boom goes the volcano!
Letter -					Now we know the ABCs, next time won't you sing with me!
Life - 						You can't create life. Not in this game, and not IRL.
Light -						And then there was light. Ever since the beginning.
Lightning -					Is not thunder.
Love -						The best thing a human can have, but like everything love has to be moderated, or else...
Magma -						Magma is not lava. There are no physical differences, but trust me, they're different.
Magic -						It's levi-O-sa, not levi-o-SAA.
Machine -					Lever. Pulley. Wheel. Ramp. Screw. Wedge. These lived in harmony before, until humans combined them.
Magnetism -					Magic exists, that metal is fly- oh it's just a magnet.
Mathematics -				The fear of many students around the world.
Matter -					Everything matters. Wait-I mean, Everything is matter.
Metal -						Look around you. Metals may be the most important thing that humanity has discovered.
Meteor -					It may be a falling star. Do I make a wish?
Moon -						When this world is no more, the moon is all we'll see.
Money -						The cause of all evil in this world. Greedy people are born due to money. It probably has made good too.
Monster -					Evil creatures that desire to take you down and eat you whole. Usually. Maybe. Probably not.
Motion -					Warping space-time in a way that doesn't break the universe. It's chaotic, you know?
Mountain -					Mountains are the Legos of Earth. When a giant steps on one, they get hurt.
Mud -						Oops, you dropped water all over the land! Now life may appear!
Music -						A serious of AAAAAAAAA's that are organized.
Night -						Every night is a day somewhere else.
Number -					Counting seems simple but there's an entire science dedicated to it so it must be complex.
Ocean -						There are no aquatic planets here, go home.
One -						...uno! No! Not the Draw 4 card!
Organ -						"Organ" may be short for organic machines.
Organism -					So... in short, everything is a machine.
Organ System -				Organic machines working together to be an even bigger machine.
Paper -						An essential tool, especially to write whatever your heart desires.
Pegasus -					Watch out for archers!
Planet -					Hi. You're on a rock, floating in space. Pretty cool, right?
Plant -						Are plants adolescent trees then?
Pond -						Personally, I am fond of ponds.
Pressure -					Pressure is when something's being squeezed. Of course, you can't apply pressure to a rubber ball.
Rain -						The sky is crying. I think you angered it enough.
Rainbow -					Children love it. Mario Kart players fear it.
Ray -						Light concentrated into one area. Be careful, it may burn!
Robot -						WE WILL TOTALLY NOT TAKE OVER THE WORLD. THAT IS A LIE.
Rock -						Will we rock you?
Rotation -					If the letter I is how you move normally, rotation is when you move like an O.
Sand -						Coarse, rough, irritating, gets everywhere.
Second -					You need a second chance. That second chance has just passed.
Science -					Discovering the unknown. Careful, it may always bite people back. Especially students in school.
Sea -						I sea the c. Oh wait!
Seed -						This is the seed of life. Plant it, wait a bit, and all plants will come forth.
Shadow -					Where there is both light and darkness, there is shadow.
Shooting Star -				Quick, make a wish!
Sound -						AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Snow -						Winter brings forth the coolest stuff!
Spring -					When the flowers bloom, when the trees wake up, and when people sneeze.
Sprout -					If sprouts are children, then are they playful?
Space -						The final frontier. Of course, until we discover the existence of other univeses.
Steam -						Steam is what happens when you let your kettle be noisy.
Star -						I think they are lighthouses. Billions of lighthouses stuck at the far edge of the sky ...
Stone -						Be careful not to dig straight down!
Summer -					The time of sea, surf, and lack of school.
Sun -						This star is owned by the organisms living on the planet Earth.
Swamp -						GET OUT OF MY SWAMP!
Thunder -					Is not lightning.
Time -						In time, there is no backwards. Only forwards.
Tree -						Trees have lots of responsibilities. Sadly, at least a quarter require them to be cut down.
Tissue -					Organs have tissues to cry on whenever they get sad.
Vehicle -					Vehicles are like magic in the past, no one there will believe we can get somewhere quickly.
Volcano - 					It may look beautiful, but it can and will explode.
Wall -						Just keep on building...
Wand -						Why do magicians have to use wands? Of course, it looks cool!
Warmth -					Not too much, not too little. Now everything is neither burnt or frozen all the time.
Water - 					Did you know that dihydrogen monoxide is healthy? You probably do, actually.
Wind -						Hold on, for wind may blow you away!
Winter -					Put on your jackets and get your snowballs ready!
Wood -						Hah, bricks? Wood is the ORIGINAL building material.
Zombie -					There's a zombie on your lawn...
Zero -						null
